Lat	Lon	ST_ID	Year	Month	Date_extracted	Batch	Volume_mL	Notes	PCR_name	
80	60	9904_80_60	1999	4	2019-06-26	3	125	low_normal	Miu_1_a_09	
86.7	50	9904_86.7_50	1999	4	2019-06-26	3	125	low_normal	Miu_1_a_10	
93.3	30	9904_93.3_30	1999	4	2019-06-26	3	125	low	Miu_1_a_11	
93.3	60	9904_93.3_60	1999	4	2019-06-26	3	125	low_normal	Miu_1_a_12	
NA	NA	Alligator	NA	NA	NA	NA	NA	NA	Miu_1_a_47	
NA	NA	Blank_1	NA	NA	2019-06-26	3	125	NA	Miu_1_b_49	
NA	NA	Blank_2	NA	NA	2019-07-01	17	125	NA	Miu_1_b_50	
NA	NA	Camel	NA	NA	NA	NA	NA	NA	Miu_1_b_51	
NA	NA	PCR_neg	NA	NA	NA	NA	NA	NA	Miu_1_a_48	
NA	NA	PCR_Negative	NA	NA	NA	NA	NA	NA	Miu_1_b_52	
